epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6323,1.62263,3.27501,1.44749,0.00333,1,0.39146,0.29378,1.00274,3.25879,1.03587,0.00026,0.00026,0.00026
2,43.586,1.45509,2.73915,1.36848,0.00323,0.96774,0.0497,0.00782,2.25099,3.88138,1.86992,0.000529308,0.000529308,0.000529308
3,64.5472,1.5764,2.83915,1.42975,0.0029,0.87097,0.05437,0.02169,1.99943,3.76897,1.68943,0.000787528,0.000787528,0.000787528
4,85.6873,1.52173,2.53919,1.40102,0.00475,0.41935,0.1605,0.06703,1.45667,3.43573,1.47138,0.00103466,0.00103466,0.00103466
5,106.39,1.50005,2.55816,1.40291,0.09396,0.3871,0.10585,0.04998,1.27014,3.32168,1.43805,0.0012707,0.0012707,0.0012707
6,127.288,1.53604,2.24786,1.37237,0.50108,0.25806,0.23054,0.13941,1.4463,2.85703,1.57935,0.00149566,0.00149566,0.00149566
7,148.38,1.5082,2.34823,1.41769,0.35641,0.25806,0.17617,0.07964,1.5326,3.39411,1.66008,0.00170953,0.00170953,0.00170953
8,169.283,1.48361,2.31102,1.40484,0.25161,0.25806,0.18765,0.10177,1.57312,3.41793,1.743,0.0017228,0.0017228,0.0017228
9,190.403,1.56298,2.2379,1.41875,0.27611,0.3871,0.26196,0.12678,1.65508,2.98707,1.77389,0.0016832,0.0016832,0.0016832
10,211.919,1.69884,2.29363,1.53752,0.39924,0.3871,0.25607,0.13352,1.64648,3.04597,1.7946,0.0016436,0.0016436,0.0016436
11,233.044,1.58955,2.24889,1.43722,0.27745,0.3871,0.20442,0.10137,1.58155,3.09284,1.79057,0.001604,0.001604,0.001604
12,254.355,1.4559,1.93637,1.3154,0.29339,0.54839,0.30272,0.15139,1.39961,2.59476,1.55274,0.0015644,0.0015644,0.0015644
13,275.417,1.51232,2.00207,1.40588,0.4307,0.19355,0.25423,0.14796,1.40628,3.39463,1.54016,0.0015248,0.0015248,0.0015248
14,296.407,1.39702,1.80277,1.3301,0.42897,0.33958,0.30036,0.1564,1.42867,3.34306,1.6057,0.0014852,0.0014852,0.0014852
15,317.204,1.43748,1.76208,1.31681,0.38792,0.35484,0.31479,0.15175,1.51358,2.89577,1.64724,0.0014456,0.0014456,0.0014456
16,338.865,1.49516,1.79303,1.37233,0.33389,0.64516,0.33392,0.15987,1.47049,2.73844,1.61987,0.001406,0.001406,0.001406
17,361.43,1.44611,1.80796,1.33886,0.44398,0.58065,0.42816,0.25786,1.42695,2.33908,1.53963,0.0013664,0.0013664,0.0013664
18,383.45,1.46529,1.73155,1.28317,0.32668,0.74194,0.33886,0.21737,1.2497,2.2925,1.40119,0.0013268,0.0013268,0.0013268
19,404.881,1.43658,1.74843,1.34983,0.3925,0.70968,0.378,0.22449,1.23786,2.18072,1.35877,0.0012872,0.0012872,0.0012872
20,426.79,1.39814,1.75818,1.36592,0.56616,0.6129,0.53191,0.33649,1.30017,2.08676,1.35117,0.0012476,0.0012476,0.0012476
21,449.483,1.37292,1.53673,1.2901,0.49536,0.6335,0.50512,0.28743,1.34644,2.10167,1.44431,0.001208,0.001208,0.001208
22,471.472,1.30245,1.56995,1.27724,0.76833,0.53527,0.69223,0.39631,1.40125,1.8894,1.4701,0.0011684,0.0011684,0.0011684
23,493.305,1.34938,1.50203,1.31485,0.74777,0.58065,0.67967,0.41471,1.35438,1.82985,1.4638,0.0011288,0.0011288,0.0011288
24,515.641,1.36114,1.47726,1.33744,0.7279,0.60431,0.6853,0.38739,1.3569,1.7805,1.43814,0.0010892,0.0010892,0.0010892
